,reads,umis
PZ-TChIC-K562-SC-H3K27me3-CT_95,30064,30064
PZ-MB-TChIC-K562-H3K4me3-C_78,57644,57644
PZ-TChIC-K562-SC-H3K27me3-CT_209,41387,41387
PZ-TChIC-K562-SC-H3K27me3-C_9,27980,27980
PZ-TChIC-K562-SC-H3K27me3-CT_33,48006,48006
PZ-TChIC-K562-SC-H3K27me3-CT_185,74544,74544
PZ-MB-TChIC-K562-H3K4me3-CT_122,10385,10385
PZ-MB-TChIC-K562-H3K4me3-C_147,27754,27754
PZ-TChIC-K562-SC-H3K27me3-CT_124,63734,63734
PZ-TChIC-K562-SC-H3K27me3-CT_166,16135,16135
PZ-TChIC-K562-SC-H3K27me3-CT_81,20421,20421
PZ-MB-TChIC-K562-H3K4me3-CT_361,4639,4639
PZ-TChIC-K562-SC-H3K27me3-C_376,27403,27403
PZ-MB-TChIC-K562-H3K4me3-T_177,6379,6379
PZ-MB-TChIC-K562-H3K4me3-C_83,41161,41161
PZ-TChIC-K562-SC-H3K27me3-C_365,35769,35769
PZ-TChIC-K562-SC-H3K27me3-CT_151,14979,14979
PZ-MB-TChIC-K562-H3K4me3-C_16,35223,35223
PZ-TChIC-K562-SC-H3K27me3-C_237,25542,25542
PZ-TChIC-K562-SC-H3K27me3-C_319,39883,39883
PZ-TChIC-K562-SC-H3K27me3-CT_51,45349,45349
PZ-TChIC-K562-SC-H3K27me3-C_304,24773,24773
PZ-TChIC-K562-SC-H3K27me3-CT_203,57444,57444
PZ-TChIC-K562-SC-H3K27me3-C_247,21117,21117
PZ-TChIC-K562-SC-H3K27me3-CT_371,50142,50142
PZ-TChIC-K562-SC-H3K27me3-C_241,22235,22235
PZ-TChIC-K562-SC-H3K27me3-C_110,40551,40551
PZ-TChIC-K562-SC-H3K27me3-CT_147,13658,13658
PZ-TChIC-K562-SC-H3K27me3-C_85,35616,35616
PZ-MB-TChIC-K562-H3K4me3-C_38,79973,79973
PZ-MB-TChIC-K562-H3K4me3-T_249,4724,4724
PZ-TChIC-K562-SC-H3K27me3-CT_375,27309,27309
PZ-TChIC-K562-SC-H3K27me3-CT_303,46947,46947
PZ-TChIC-K562-SC-H3K27me3-CT_63,33348,33348
PZ-TChIC-K562-SC-H3K27me3-C_303,40493,40493
PZ-TChIC-K562-SC-H3K27me3-C_129,20840,20840
PZ-MB-TChIC-K562-H3K4me3-C_57,12580,12580
PZ-MB-TChIC-K562-H3K4me3-C_135,82364,82364
PZ-TChIC-K562-SC-H3K27me3-C_34,18960,18960
