	step	PT	UMAP1	UMAP2	lin	RT	lin2	RT_m	step_id
23	23	2.3239184020000003	11.602614	4.289101	ect2	mESCs	Pluripotent mESCs	0.0	23:ect2
24	24	2.4696848599999996	11.622875	4.3315663	ect2	mESCs	Pluripotent mESCs	0.0	24:ect2
25	25	2.6109142509999996	11.652009	4.354657	ect2	mESCs	Pluripotent mESCs	1.68	25:ect2
26	26	2.7320748490000004	11.554913	4.2695875	ect2	mESCs	Pluripotent mESCs	0.72	26:ect2
27	27	2.855737008	11.775082	4.2496943	ect2	mESCs	Pluripotent mESCs	0.0	27:ect2
28	28	2.998822895	11.653786	4.283058	ect2	mESCs	Pluripotent mESCs	1.68	28:ect2
29	29	3.1864833550000005	11.6576	4.4459653	ect2	mESCs	Pluripotent mESCs	0.0	29:ect2
30	30	3.335302126	11.74118	4.4125	ect2	mESCs	Pluripotent mESCs	0.0	30:ect2
31	31	3.513640805	11.768203	4.3063445	ect2	mESCs	Pluripotent mESCs	0.0	31:ect2
32	32	3.739240205	11.801035	4.2976055	ect2	mESCs	Pluripotent mESCs	1.2	32:ect2
33	33	3.9936504119999996	11.675153	4.303569	ect2	mESCs	Pluripotent mESCs	1.2	33:ect2
34	34	4.2354350389999995	11.8568535	4.217493	ect2	mESCs	Pluripotent mESCs	0.0	34:ect2
35	35	4.533736216	11.725695	4.132668	ect2	mESCs	Pluripotent mESCs	5.76	35:ect2
36	36	4.955100076	11.760181	4.337682	ect2	mESCs	Pluripotent mESCs	1.44	36:ect2
37	37	5.805180276	11.845388	4.22457	ect2	mESCs	Pluripotent mESCs	0.0	37:ect2
38	38	11.303958404000003	9.567925	4.778676	ect2	mESCs	Pluripotent mESCs	13.44	38:ect2
39	39	21.984440579999998	6.0552607	5.3099084	ect2	Gastd4	Pluripotent Gastd4	97.44	39:ect2
40	40	24.042572319999998	5.3956842	5.552048	ect2	Gastd3	Pluripotent Gastd3	89.52	40:ect2
41	41	24.827564579999994	5.218709	5.6481886	ect2	Gastd3	Pluripotent Gastd3	87.12	41:ect2
42	42	25.358820310000002	5.1977234	5.68313	ect2	Gastd3	Pluripotent Gastd3	86.64	42:ect2
43	43	25.6841592	5.1109753	5.8182063	ect2	Gastd3	Pluripotent Gastd3	85.2	43:ect2
44	44	25.88310912	5.0853953	5.9219193	ect2	Gastd3	Pluripotent Gastd3	79.92	44:ect2
45	45	26.019303519999994	5.071642	6.0318775	ect2	Gastd3	Pluripotent Gastd3	77.76	45:ect2
