index,ect1_ct,ect2_ct,ect3_ct,mes1_ct,mes2_ct,mes3_ct,pluri1_ct,pluri2_ct,endo1_ct
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_3,,,,preSomitic/Wavefront,preSomitic/Wavefront,preSomitic/Wavefront,,,preSomitic/Wavefront
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_105,,,,Nascent Mesoderm,,Nascent Mesoderm,,,Nascent Mesoderm
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_304,,,,,,,,,Visceral Endoderm
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_307,,,,,LP/Intermediate Mesoderm,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_38,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,,,Caudal Mesoderm
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_28,,,,Cardiac Mesoderm,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_234,NMPs,NMPs,NMPs,,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_43,,,,,,Endothelium,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_293,,,,,,,PGCs,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_296,Neural Progenitors,Neural Progenitors,Neural Progenitors,,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_229,NMPs,NMPs,NMPs,,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_160,,,,,,Endothelium,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_136,,,,,,,PGCs,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_324,,,,Cardiac Mesoderm,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_258,,,,Cardiac Mesoderm,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_306,,,,,Somite,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_301,NMPs,NMPs,NMPs,,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_113,,,,,LP/Intermediate Mesoderm,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_292,,,,,,Endothelium,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_332,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,,,Caudal Mesoderm
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_339,NMPs,NMPs,NMPs,,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_328,,,,,Dermomyotome,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_209,,,,,,Endothelium,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_282,,,,Cardiac Mesoderm,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_261,,,,,Somite,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_181,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_35,Neural Progenitors,Neural Progenitors,Neural Progenitors,,,,,,
