,TA_start,total,TA_ratio,QC
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_72,2.0,16.0,12.5,bad
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-2_6,2173.0,2704.0,80.36242603550295,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-2_79,1125.0,1474.0,76.32293080054275,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-2_240,896.0,1455.0,61.580756013745706,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-2_234,1270.0,3517.0,36.11032129655957,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-2_84,514.0,1089.0,47.19926538108356,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-2_175,118.0,747.0,15.796519410977242,bad
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-2_27,1377.0,1878.0,73.3226837060703,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-2_135,1238.0,2284.0,54.2031523642732,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-2_264,1089.0,1754.0,62.0866590649943,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-2_375,929.0,1352.0,68.71301775147928,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-2_57,672.0,975.0,68.92307692307692,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-2_303,1319.0,2155.0,61.206496519721576,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-2_120,940.0,2232.0,42.11469534050179,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-2_317,1750.0,2524.0,69.33438985736925,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-2_320,763.0,1854.0,41.15426105717368,good
