names,names,stat,log2FoldChange,pvals,padj,p_log10
Sptbn1,Sptbn1,14.339147,0.5783061,1.2457775664509775e-46,1.986469622474805e-44,43.70191807188344
Cnn2,Cnn2,14.304565,2.0834894,2.049149561684135e-46,3.232108068575507e-44,43.4905141266099
Marveld1,Marveld1,14.276871,1.9814804,3.049935133756872e-46,4.759096997463268e-44,43.32247544354464
Rrbp1,Rrbp1,14.226548,0.75399977,6.2700837625857555e-46,9.680078786965875e-44,43.014121107918335
Igsf11,Igsf11,14.187178,3.583965,1.0999795505557743e-45,1.6687224494212614e-43,42.777615891426535
Plin3,Plin3,14.170521,1.1288259,1.394625669768878e-45,2.1011237978576567e-43,42.677548358283
Brwd3,Brwd3,14.103228,0.78019416,3.6279128421358595e-45,5.4283267118410214e-43,42.26533402157241
Agrn,Agrn,14.053402,0.62855196,7.342059173296305e-45,1.0910949229268328e-42,41.96213746507613
Fam171a1,Fam171a1,14.032564,1.2228851,9.852441679553106e-45,1.449370469432171e-42,41.83882059157115
Klhdc8b,Klhdc8b,13.971606,3.034468,2.3232711150276125e-44,3.406242895525886e-42,41.467724386195684
Clcn5,Clcn5,13.966224,0.7660366,2.5056368884453034e-44,3.661330478028888e-42,41.436361069177266
Arid5b,Arid5b,13.962983,1.2477819,2.6222557747711615e-44,3.818965901850894e-42,41.41805421926588
Col4a1,Col4a1,13.948817,0.3368653,3.198661601234693e-44,4.642947641845348e-42,41.33320621381086
Ppp1r13b,Ppp1r13b,13.936143,2.514808,3.8203375900290713e-44,5.5087250708237677e-42,41.25894890183318
Frmd6,Frmd6,13.780743,1.7250514,3.3283203006769258e-43,4.733382544408928e-41,40.32482839512798
Lgals1,Lgals1,13.725091,1.8237115,7.183923594720184e-43,9.995949228564317e-41,40.00017595840897
Zbtb20,Zbtb20,13.715203,1.4368818,8.233564232823383e-43,1.142008428242179e-40,39.942330690901414
Hbp1,Hbp1,13.659569,1.0421172,1.7702893130926372e-42,2.4399277721870792e-40,39.612623029646876
Copa,Copa,13.616591,0.462278,3.191193732596321e-42,4.3707349646039455e-40,39.35944552773588
Adgrg6,Adgrg6,13.580028,5.1150765,5.260636765015925e-42,7.160201897205943e-40,39.14507473165775
Ppfia4,Ppfia4,13.560629,1.9836681,6.854594690466744e-42,9.271953455764166e-40,39.032828757151826
Dstn,Dstn,13.526552,0.96226937,1.0901777487254902e-41,1.4700912351717714e-39,38.832655711712974
Cald1,Cald1,13.5090475,0.9255027,1.3829972917450334e-41,1.859216451496377e-39,38.73067004636674
Plxna4,Plxna4,13.505322,2.613068,1.4547499754617073e-41,1.9496773367453207e-39,38.71003725656872
Frs2,Frs2,13.502153,0.9444197,1.518708130787108e-41,2.029170548691729e-39,38.69268144964336
Loxl2,Loxl2,13.467814,0.9175052,2.4192039784651224e-41,3.2126881769945184e-39,38.493131424956566
